time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-19 00:00:00+00:00,3,3,40.0,1.0
2023-10-20 00:00:00+00:00,3,3,,
2023-10-21 00:00:00+00:00,3,3,,
2023-10-22 00:00:00+00:00,2,2,,
2023-10-23 00:00:00+00:00,3,3,52.0,1.0
2023-10-24 00:00:00+00:00,3,3,,
2023-10-25 00:00:00+00:00,4,4,1.0,1.0
2023-10-26 00:00:00+00:00,3,3,27.0,1.0
2023-10-27 00:00:00+00:00,3,3,4.0,1.0
2023-10-28 00:00:00+00:00,7,4,,
2023-10-29 00:00:00+00:00,12,4,30.0,2.0
2023-10-30 00:00:00+00:00,8,5,31.0,2.0
2023-10-31 00:00:00+00:00,12,4,,
2023-11-01 00:00:00+00:00,1,1,28.0,2.0
