time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-20 00:00:00+00:00,15,11,4,2
2026-02-21 00:00:00+00:00,169,51,51,2
2026-02-22 00:00:00+00:00,8,8,2,1
2026-02-23 00:00:00+00:00,33,13,0,0
2026-02-24 00:00:00+00:00,10,6,1,1
2026-02-25 00:00:00+00:00,4,4,0,0
2026-02-26 00:00:00+00:00,13,11,0,0
2026-02-27 00:00:00+00:00,11,9,4,1
2026-02-28 00:00:00+00:00,233,26,20,2
2026-03-01 00:00:00+00:00,95,21,38,2
2026-03-02 00:00:00+00:00,83,21,20,2
2026-03-03 00:00:00+00:00,60,16,2,1
2026-03-04 00:00:00+00:00,15,7,0,0
2026-03-05 00:00:00+00:00,6,4,2,1
