time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,27,14,1,1
2026-07-05 00:00:00+00:00,23,14,0,0
2026-07-06 00:00:00+00:00,9,4,0,0
2026-07-07 00:00:00+00:00,50,13,0,0
2026-07-08 00:00:00+00:00,19,6,0,0
2026-07-09 00:00:00+00:00,20,9,1,1
2026-07-10 00:00:00+00:00,38,8,13,1
2026-07-11 00:00:00+00:00,22,7,2,2
2026-07-12 00:00:00+00:00,21,6,0,0
2026-07-13 00:00:00+00:00,15,10,2,1
2026-07-14 00:00:00+00:00,27,9,0,0
2026-07-15 00:00:00+00:00,10,6,3,1
2026-07-16 00:00:00+00:00,22,9,0,0
2026-07-17 00:00:00+00:00,43,17,0,0
