time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,279,21,0,0
2026-06-24 00:00:00+00:00,153,11,2,2
2026-06-25 00:00:00+00:00,47,13,0,0
2026-06-26 00:00:00+00:00,22,8,5,3
2026-06-27 00:00:00+00:00,15,6,0,0
2026-06-28 00:00:00+00:00,12,7,7,2
2026-06-29 00:00:00+00:00,15,6,1,1
2026-06-30 00:00:00+00:00,111,13,0,0
2026-07-01 00:00:00+00:00,18,9,0,0
2026-07-02 00:00:00+00:00,25,14,1,1
2026-07-03 00:00:00+00:00,46,25,2,2
2026-07-04 00:00:00+00:00,27,14,1,1
2026-07-05 00:00:00+00:00,23,14,0,0
2026-07-06 00:00:00+00:00,9,4,0,0
