time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-03 00:00:00+00:00,354,69,224,3
2026-02-04 00:00:00+00:00,413,88,205,12
2026-02-05 00:00:00+00:00,178,36,60,1
2026-02-06 00:00:00+00:00,17,11,2,1
2026-02-07 00:00:00+00:00,5,5,0,0
2026-02-08 00:00:00+00:00,17,9,0,0
2026-02-09 00:00:00+00:00,122,31,14,1
2026-02-10 00:00:00+00:00,33,14,11,1
2026-02-11 00:00:00+00:00,28,5,15,1
2026-02-12 00:00:00+00:00,46,18,12,2
2026-02-13 00:00:00+00:00,40,14,2,1
2026-02-14 00:00:00+00:00,35,15,1,1
2026-02-15 00:00:00+00:00,23,10,0,0
2026-02-16 00:00:00+00:00,30,11,0,0
