time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,133,33,3,1
2026-04-22 00:00:00+00:00,100,40,6,1
2026-04-23 00:00:00+00:00,108,39,0,0
2026-04-24 00:00:00+00:00,131,48,0,0
2026-04-25 00:00:00+00:00,119,34,0,0
2026-04-26 00:00:00+00:00,162,12,0,0
2026-04-27 00:00:00+00:00,617,58,0,0
2026-04-28 00:00:00+00:00,494,60,8,1
2026-04-29 00:00:00+00:00,60,20,0,0
2026-04-30 00:00:00+00:00,45,14,0,0
2026-05-01 00:00:00+00:00,265,29,1,1
2026-05-02 00:00:00+00:00,40,11,0,0
2026-05-03 00:00:00+00:00,30,12,0,0
2026-05-04 00:00:00+00:00,17,8,0,0
