time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,43,18,0,0
2026-06-13 00:00:00+00:00,19,7,7,7
2026-06-14 00:00:00+00:00,30,8,0,0
2026-06-15 00:00:00+00:00,28,10,0,0
2026-06-16 00:00:00+00:00,200,13,0,0
2026-06-17 00:00:00+00:00,16,7,1,1
2026-06-18 00:00:00+00:00,40,16,0,0
2026-06-19 00:00:00+00:00,48,14,1,1
2026-06-20 00:00:00+00:00,41,12,1,1
2026-06-21 00:00:00+00:00,40,11,0,0
2026-06-22 00:00:00+00:00,292,23,0,0
2026-06-23 00:00:00+00:00,279,21,0,0
2026-06-24 00:00:00+00:00,153,11,2,2
2026-06-25 00:00:00+00:00,47,13,0,0
